categoria,mes_aprox,pct_display_medio,pct_mailer_medio,pct_promo_qualquer_medio,n_semanas
agua,1,84.8,27.5,100.0,5
agua,2,87.4,24.8,100.0,5
agua,3,85.0,27.5,100.0,10
agua,4,92.5,22.9,100.0,8
agua,5,92.6,17.6,100.0,8
agua,6,88.2,20.9,100.0,10
agua,7,80.6,28.7,100.0,8
agua,8,91.2,19.4,100.0,8
agua,9,86.7,20.3,100.0,10
agua,10,82.1,30.6,100.0,8
agua,11,81.1,29.4,100.0,8
agua,12,92.4,11.3,100.0,5
biscoito,1,62.0,56.2,100.0,5
biscoito,2,66.1,50.6,100.0,5
biscoito,3,54.6,63.0,100.0,10
biscoito,4,57.3,61.3,100.0,8
biscoito,5,63.4,53.6,100.0,8
biscoito,6,59.2,56.4,100.0,10
biscoito,7,58.2,57.8,100.0,8
biscoito,8,60.5,53.7,100.0,8
biscoito,9,60.9,51.8,100.0,10
biscoito,10,58.0,54.2,100.0,8
biscoito,11,48.5,68.0,100.0,8
biscoito,12,62.3,51.6,100.0,5
cafe,1,85.4,37.8,100.0,5
cafe,2,66.5,46.4,100.0,5
cafe,3,84.0,24.7,100.0,10
cafe,4,41.0,70.7,100.0,8
cafe,5,68.1,43.5,100.0,8
cafe,6,76.5,28.5,100.0,10
cafe,7,62.7,46.4,100.0,8
cafe,8,63.1,52.8,100.0,8
cafe,9,59.6,51.0,100.0,10
cafe,10,85.2,19.5,100.0,8
cafe,11,50.5,59.1,100.0,8
cafe,12,83.5,27.2,100.0,5
cerveja,1,95.8,5.9,100.0,5
cerveja,2,96.4,7.2,100.0,5
cerveja,3,91.6,14.1,100.0,10
cerveja,4,94.2,9.7,100.0,8
cerveja,5,96.6,5.2,100.0,8
cerveja,6,95.1,8.3,100.0,10
cerveja,7,95.5,7.1,100.0,8
cerveja,8,86.2,20.6,100.0,8
cerveja,9,85.5,20.5,100.0,10
cerveja,10,85.6,22.6,100.0,8
cerveja,11,86.9,21.0,100.0,8
cerveja,12,89.3,17.9,100.0,5
cha,1,100.0,0.0,100.0,5
cha,2,100.0,0.0,100.0,5
cha,3,100.0,0.0,100.0,10
cha,4,98.4,2.2,100.0,8
cha,5,87.7,12.4,100.0,8
cha,6,87.8,12.5,100.0,10
cha,7,100.0,0.0,100.0,8
cha,8,100.0,0.0,100.0,8
cha,9,100.0,0.0,100.0,10
cha,10,100.0,0.0,100.0,8
cha,11,100.0,0.0,100.0,8
cha,12,100.0,0.0,100.0,5
chocolate_doce,1,75.9,32.9,100.0,5
chocolate_doce,2,58.2,55.2,100.0,5
chocolate_doce,3,73.3,35.3,100.0,10
chocolate_doce,4,77.4,33.3,100.0,8
chocolate_doce,5,70.8,43.3,100.0,8
chocolate_doce,6,70.1,41.0,100.0,10
chocolate_doce,7,73.2,35.4,100.0,8
chocolate_doce,8,67.8,43.8,100.0,8
chocolate_doce,9,60.3,56.2,100.0,10
chocolate_doce,10,72.0,38.2,100.0,8
chocolate_doce,11,77.2,31.8,100.0,8
chocolate_doce,12,72.7,38.3,100.0,5
cigarro,1,100.0,0.0,100.0,5
cigarro,2,100.0,0.0,100.0,5
cigarro,3,100.0,0.0,100.0,10
cigarro,4,100.0,0.0,100.0,8
cigarro,5,100.0,0.0,100.0,8
cigarro,6,100.0,0.0,100.0,10
cigarro,7,100.0,0.0,100.0,8
cigarro,8,93.9,6.8,100.0,8
cigarro,9,100.0,0.0,100.0,10
cigarro,10,100.0,0.0,100.0,8
cigarro,11,100.0,0.0,100.0,8
cigarro,12,100.0,0.0,100.0,5
destilados,1,100.0,0.0,100.0,5
destilados,2,92.4,9.2,100.0,5
destilados,3,95.4,5.5,100.0,10
destilados,4,94.2,6.4,100.0,8
destilados,5,100.0,0.0,100.0,8
destilados,6,100.0,0.0,100.0,10
destilados,7,100.0,0.0,100.0,8
destilados,8,87.4,17.4,100.0,8
destilados,9,95.2,6.5,100.0,10
destilados,10,83.8,19.1,100.0,8
destilados,11,90.6,9.5,100.0,8
destilados,12,90.6,11.2,100.0,5
gelo,3,0.0,100.0,100.0,2
gelo,5,0.0,100.0,100.0,1
gelo,6,100.0,0.0,100.0,1
padaria,1,57.4,55.6,100.0,5
padaria,2,65.8,47.7,100.0,5
padaria,3,58.9,52.8,100.0,10
padaria,4,57.1,54.8,100.0,8
padaria,5,69.7,38.8,100.0,8
padaria,6,51.8,60.4,100.0,10
padaria,7,59.0,52.0,100.0,8
padaria,8,55.1,55.0,100.0,8
padaria,9,65.3,44.3,100.0,10
padaria,10,48.8,65.5,100.0,8
padaria,11,56.0,54.3,100.0,8
padaria,12,63.1,51.9,100.0,5
refrigerante,1,48.9,70.5,100.0,5
refrigerante,2,61.6,54.4,100.0,5
refrigerante,3,44.3,73.1,100.0,10
refrigerante,4,41.5,77.1,100.0,8
refrigerante,5,49.5,70.0,100.0,8
refrigerante,6,46.0,71.8,100.0,10
refrigerante,7,42.9,76.2,100.0,8
refrigerante,8,50.6,65.4,100.0,8
refrigerante,9,38.9,77.9,100.0,10
refrigerante,10,37.4,79.3,100.0,8
refrigerante,11,44.0,74.7,100.0,8
refrigerante,12,51.0,67.5,100.0,5
sanduiche,1,41.0,85.9,100.0,5
sanduiche,2,55.6,75.7,100.0,5
sanduiche,3,43.3,85.6,100.0,10
sanduiche,4,41.4,88.5,100.0,8
sanduiche,5,53.2,76.4,100.0,8
sanduiche,6,55.1,75.9,100.0,10
sanduiche,7,50.2,84.7,100.0,8
sanduiche,8,44.9,86.4,100.0,8
sanduiche,9,37.1,87.7,100.0,10
sanduiche,10,47.2,77.0,100.0,8
sanduiche,11,46.9,83.8,100.0,8
sanduiche,12,41.7,82.1,100.0,5
snack,1,62.3,52.0,100.0,5
snack,2,59.5,57.7,100.0,5
snack,3,60.4,56.9,100.0,10
snack,4,69.6,45.2,100.0,8
snack,5,65.8,49.3,100.0,8
snack,6,64.0,49.2,100.0,10
snack,7,62.8,49.3,100.0,8
snack,8,66.6,46.2,100.0,8
snack,9,72.0,41.7,100.0,10
snack,10,59.0,55.4,100.0,8
snack,11,59.1,55.6,100.0,8
snack,12,73.5,38.4,100.0,5
sorvete,1,36.0,81.5,100.0,5
sorvete,2,36.1,82.0,100.0,5
sorvete,3,38.9,76.4,100.0,10
sorvete,4,32.4,81.1,100.0,8
sorvete,5,40.6,73.1,100.0,8
sorvete,6,44.4,71.2,100.0,10
sorvete,7,34.9,78.4,100.0,8
sorvete,8,26.6,86.5,100.0,8
sorvete,9,27.3,87.2,100.0,10
sorvete,10,28.2,86.7,100.0,8
sorvete,11,31.4,82.7,100.0,8
sorvete,12,40.3,79.5,100.0,5
suco,1,36.0,78.6,100.0,5
suco,2,35.8,80.6,100.0,5
suco,3,32.0,83.6,100.0,10
suco,4,36.7,79.0,100.0,8
suco,5,44.8,72.7,100.0,8
suco,6,43.9,70.8,100.0,10
suco,7,38.9,71.3,100.0,8
suco,8,36.2,77.6,100.0,8
suco,9,40.5,68.5,100.0,10
suco,10,28.1,83.5,100.0,8
suco,11,42.2,70.3,100.0,8
suco,12,34.6,79.3,100.0,5
vinho,1,97.9,2.6,100.0,5
vinho,2,98.2,2.1,100.0,5
vinho,3,98.2,2.2,100.0,10
vinho,4,98.3,2.0,100.0,8
vinho,5,98.8,1.5,100.0,8
vinho,6,98.1,2.1,100.0,10
vinho,7,96.3,4.7,100.0,8
vinho,8,96.4,4.5,100.0,8
vinho,9,94.8,6.5,100.0,10
vinho,10,91.7,10.0,100.0,8
vinho,11,95.0,5.8,100.0,8
vinho,12,97.5,2.9,100.0,5
